{'Time': 0.03342857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.00342857142857143, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 21, 'Block_id': 0, 'Create_time': 0.03, 'Deadline': 0.2, 'Offset': 20, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.033928571428571426, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0024999999999999983, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 22, 'Block_id': 0, 'Create_time': 0.03142857142857143, 'Deadline': 0.2, 'Offset': 21, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.034285714285714294, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 24, 'Block_id': 0, 'Create_time': 0.034285714285714294, 'Deadline': 0.2, 'Offset': 23, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03492857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0034999999999999983, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 22, 'Block_id': 0, 'Create_time': 0.03142857142857143, 'Deadline': 0.2, 'Offset': 21, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03542857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0025714285714285665, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 23, 'Block_id': 0, 'Create_time': 0.03285714285714286, 'Deadline': 0.2, 'Offset': 22, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.035714285714285726, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 25, 'Block_id': 0, 'Create_time': 0.035714285714285726, 'Deadline': 0.2, 'Offset': 24, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03642857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0035714285714285665, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 23, 'Block_id': 0, 'Create_time': 0.03285714285714286, 'Deadline': 0.2, 'Offset': 22, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03692857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0026428571428571347, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 24, 'Block_id': 0, 'Create_time': 0.034285714285714294, 'Deadline': 0.2, 'Offset': 23, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03714285714285716, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 26, 'Block_id': 0, 'Create_time': 0.03714285714285716, 'Deadline': 0.2, 'Offset': 25, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03792857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0036428571428571348, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 24, 'Block_id': 0, 'Create_time': 0.034285714285714294, 'Deadline': 0.2, 'Offset': 23, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03842857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002714285714285703, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 25, 'Block_id': 0, 'Create_time': 0.035714285714285726, 'Deadline': 0.2, 'Offset': 24, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03857142857142859, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 27, 'Block_id': 0, 'Create_time': 0.03857142857142859, 'Deadline': 0.2, 'Offset': 26, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03942857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.003714285714285703, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 25, 'Block_id': 0, 'Create_time': 0.035714285714285726, 'Deadline': 0.2, 'Offset': 24, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03992857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002785714285714271, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 26, 'Block_id': 0, 'Create_time': 0.03714285714285716, 'Deadline': 0.2, 'Offset': 25, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.04000000000000002, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 28, 'Block_id': 0, 'Create_time': 0.04000000000000002, 'Deadline': 0.2, 'Offset': 27, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.04092857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.003785714285714271, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 26, 'Block_id': 0, 'Create_time': 0.03714285714285716, 'Deadline': 0.2, 'Offset': 25, 'Payload': 1480, 'Packet_size': 1500}
