{'Time': 0.10990060511857822, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 7, 'Create_time': 0.10990060511857822}
{'Time': 0.009990964101688917, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10043631648426665, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 0, 'Create_time': 0.009990964101688917}
{'Time': 0.11132788570453378, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 8, 'Block_id': 7, 'Create_time': 0.11132788570453378}
{'Time': 0.011418244687644477, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10050903589831109, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 8, 'Block_id': 0, 'Create_time': 0.011418244687644477}
{'Time': 0.11275516629048934, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 9, 'Block_id': 7, 'Create_time': 0.11275516629048934}
{'Time': 0.012845525273600037, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10058175531235553, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 9, 'Block_id': 0, 'Create_time': 0.012845525273600037}
{'Time': 0.11418244687644491, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 0, 'Block_id': 8, 'Create_time': 0.11418244687644491}
{'Time': 0.014272805859555596, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10065447472639998, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 0, 'Block_id': 1, 'Create_time': 0.014272805859555596}
{'Time': 0.11560972746240047, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 1, 'Block_id': 8, 'Create_time': 0.11560972746240047}
{'Time': 0.015700086445511158, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10072719414044441, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 1, 'Block_id': 1, 'Create_time': 0.015700086445511158}
{'Time': 0.11703700804835604, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 2, 'Block_id': 8, 'Create_time': 0.11703700804835604}
{'Time': 0.017127367031466716, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10079991355448885, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 2, 'Block_id': 1, 'Create_time': 0.017127367031466716}
